,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
0,Unbox Robotics,2019,Bangalore,Artificial Intelligence,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon",BEENEXT,1200000.0,early traction,2021-01-01
1,upGrad,2015,Mumbai,Education Technology,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",Unilazer Ventures,120000000.0,others,2021-01-01
2,Lead School,2012,Mumbai,Education Technology,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta",GSV Ventures,30000000.0,early traction,2021-01-01
3,Bizongo,2015,Mumbai,Business-to-Business E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal",CDC Group,51000000.0,early traction,2021-01-01
4,FypMoney,2021,Gurgaon,Fintech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,Liberatha Kallat,2000000.0,validation,2021-01-01
5,Urban Company,2014,Delhi,Home Services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,others,2021-01-01
6,Comofi Medtech,2018,Bangalore,Healthcare,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,CIIE.CO,200000.0,others,2021-01-01
7,Qube Health,2016,Mumbai,Healthcare,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,0.0,early traction,2021-01-01
8,Vitra.ai,2020,Bangalore,Technology Startup,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,0.0,others,2021-01-01
9,Taikee,2010,Mumbai,Business-to-Business E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",None,1000000.0,others,2021-01-01
10,Fitterfly,2016,Mumbai,Healthcare,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,9Unicorns Accelerator Fund,3000000.0,early traction,2021-01-01
11,FreeStand,2017,Delhi,Business-to-Business Services,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni",SucSEED Indovation,100000.0,others,2021-01-01
12,MyDentalPlan,2014,Bangalore,Healthcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,validation,2021-01-01
13,Freyr Energy,2014,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","adhika Choudary, Saurabh Marda",Impact Partners,2000000.0,others,2021-01-01
14,DealShare,2018,Jaipur,Business-to-Business E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Tiger Global Management,9000000.0,others,2021-01-01
15,Tessolve,1993,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,others,2021-01-01
16,Smart Joules,2014,Delhi,Renewable Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta",aintree Family Office,49000000.0,others,2021-01-01
17,ORAI,2020,Bangalore,Technology Startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,early traction,2021-01-01
18,ixamBee,2016,Delhi,Education Technology,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,Mumbai Angels,300000.0,validation,2021-01-01
19,CoinSwitch Kuber,2017,Bangalore,Fintech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Paradigm,25000000.0,early traction,2021-01-01
20,Razorpay,2014,Bangalore,Fintech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar",Matrix Partners India,160000000.0,early traction,2021-01-01
21,Uable,2020,Bangalore,Education Technology,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,Chiratae Ventures,0.0,validation,2021-01-01
22,ZFW Hospitality,2015,Delhi,Food and Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,Mumbai Angels Network,150000.0,validation,2021-01-01
23,Optimized Electrotech,2017,Ahmedabad,Aerospace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,early traction,2021-01-01
24,Northern Arc,2008,Chennai,Fintech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,Kotak Mahindra Bank,5000000.0,others,2021-01-01
25,Chara,2019,Bangalore,Deep Technology,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,validation,2021-01-01
26,Sirona Hygiene,2015,Delhi,Healthcare,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj",NB Ventures,3000000.0,early traction,2021-01-01
27,Pristyn Care,2018,Gurgaon,Healthcare,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,Sequoia Capital India,53000000.0,early traction,2021-01-01
28,TrulyMadly,2013,Delhi,Dating Services,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia",Gaurav Munjal,2000000.0,early traction,2021-01-01
29,Vidyakul,2018,None,Education Technology,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"aman Garg, Tarun Saini",JITO Angel Network,500000.0,validation,2021-01-01
30,Jambox Games,2021,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",avi Vyas,None,1100000.0,validation,2021-01-01
31,Miko,2015,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani",Chiratae Ventures,6000000.0,others,2021-01-01
32,SuperK,2019,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,validation,2021-01-01
33,TagZ Foods,2019,Bangalore,Food and Beverages,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,early traction,2021-01-01
34,Fuel Buddy,2017,Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,others,2021-01-01
35,M1xchange,2017,Gurgaon,Fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,others,2021-01-01
36,Spintly,2017,Goa,Technology Startup,Wireless cloud based access control platform,ohin Parkar,iso Capital,500000.0,others,2021-01-01
37,EF Polymer,2018,ajsamand,Agricultural Technology,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,others,2021-01-01
38,boAt,2016,Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta",Qualcomm Ventures,6000000.0,others,2021-01-01
39,TruNativ,2019,Mumbai,Food and Beverages,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,0.0,validation,2021-01-01
40,iBus,2010,Bangalore,Telecommunications,iBus Networks is an in-building connectivity solutions company,"am Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,others,2021-01-01
41,Puresh Daily,2019,anchi,Dairy,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar",Alfa Ventures,100000.0,validation,2021-01-01
42,LearnVern,2016,Ahmedabad,Education Technology,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",None,1000000.0,others,2021-01-01
43,LimeChat,2020,aridabad,Artificial Intelligence,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta",Stellaris Venture Partners,7500000.0,validation,2021-01-01
44,Dybo,2019,Bangalore,Information Technology,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,validation,2021-01-01
45,moEVing,2021,Gurgaon,Supply Chain and Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,None,1000000.0,validation,2021-01-01
46,WeWork India,2017,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,None,26000000.0,others,2021-01-01
47,Solethreads,2018,Gurgaon,Fashion and Lifestyle,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,DSG Consumer Partners,1000000.0,early traction,2021-01-01
48,Beldara,2018,Mumbai,Business-to-Business E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,others,2021-01-01
49,CredFlow,2020,Delhi,Fintech,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,Stellaris Venture Partners,2000000.0,validation,2021-01-01
50,Do Your Thng,2018,Gurgaon,Marketing and Advertising,World's first shared economy platform for digital assets.,Ankit Agarwal,Angelbay Holdings,1500000.0,others,2021-01-01
51,Oye Rickshaw,2017,Gurgaon,Transportation and Mobility,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma",Alteria Capital,3000000.0,others,2021-01-01
52,Legitquest,2017,Delhi,Legal Technology,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla",WaterBridge Ventures,600000.0,others,2021-01-01
53,Swiggy,2014,Bangalore,Food and Beverages,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety",Carmignac,800000000.0,others,2021-01-01
54,AntWak,2019,Bangalore,Education Technology,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman",Vaibhav Domkundwar,0.0,validation,2021-01-01
55,PlayShifu,2016,Bangalore,Education Technology,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal",Chiratae Ventures,17000000.0,early traction,2021-01-01
56,Pitstop,2015,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak",Acko Technology,3500000.0,early traction,2021-01-01
57,Lendingkart,1999,Gujarat,Fintech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan",Bertelsmann India Investments,15000000.0,others,2021-01-01
58,CRED,2018,Bangalore,Fintech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,Dragoneer Investment Group,215000000.0,early traction,2021-01-01
59,Karnival,2015,Bangalore,Software-as-a-Service,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,None,2500000.0,validation,2021-01-01
60,PharmEasy,2015,Mumbai,Healthcare,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani",TPG Growth,350000000.0,early traction,2021-01-01
61,WESS,1989,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum FiNonecial Services,2000000.0,validation,2021-01-01
62,ShopSe,2020,Mumbai,Fintech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai",Chiratae Ventures,5500000.0,others,2021-01-01
63,Fantasy Akhada,2020,Gurgaon,Fantasy Sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,others,2021-01-01
64,Rage Coffee,2018,Delhi,Food and Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,GetVantage,0.0,early traction,2021-01-01
65,Groww,2017,Bangalore,Fintech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh",Tiger Global Management,83000000.0,early traction,2021-01-01
66,Avanti Finance,2016,Bangalore,Fintech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"atan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,early traction,2021-01-01
67,Kudos,2014,Pune,Fintech,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,0.0,early traction,2021-01-01
68,OfBusiness,2015,Gurgaon,Fintech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar",alcon Edge India,110000000.0,others,2021-01-01
69,Superpro.ai,2019,Bangalore,Video,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar",SOSV,3000000.0,validation,2021-01-01
70,ShareChat,2015,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan",Twitter Ventures,500000000.0,others,2021-01-01
71,WiT-ACE,2020,Gurgaon,Skills Development and Professional Training,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,validation,2021-01-01
72,Spinny,2015,Gurgaon,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur",Arena Holdings,65000000.0,early traction,2021-01-01
73,Alteria Capital,2018,Mumbai,Fintech,Alteria Capital is a Venture debt firm .,Vinod Murali,None,150000000000.0,others,2021-01-01
74,Safexpay,2017,Thane,Fintech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,avi Gupta,T Choithrams BVI,6000000.0,others,2021-01-01
75,PumPumPum,2018,Gurgaon,Rental Services,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra",Kogta FiNonecial India Limited,700000.0,early traction,2021-01-01
76,Speciale Invest,2017,Bangalore,Fintech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",None,10000000.0,others,2021-01-01
77,Eunimart,2016,Hyderabad,Business-to-Business E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder",SucSEED Venture Partners,700000.0,early traction,2021-01-01
78,Meesho,2015,Bangalore,Business-to-Business E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey",SAIF Partners,300000000.0,others,2021-01-01
79,CareerLabs,2019,Bangalore,Education Technology,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,others,2021-01-01
80,Uable,2020,Bangalore,Education Technology,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,JAFCO Asia,35000000.0,early traction,2021-01-01
81,Zoko,2016,Bangalore,Technology Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,validation,2021-01-01
82,GetWork,2019,Gurgaon,Recruitment and Staffing,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,ahul Veerwal,Artha Venture Fund,200000.0,validation,2021-01-01
83,Easebuzz,2015,Pune,Business-to-Business E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,ohit Prasad,Jitendra Gupta,4000000.0,early traction,2021-01-01
84,Chingari,2018,Bangalore,Social Media,Chingari operates as a short video platform.,Sumit Ghosh,J Labs,13000000.0,others,2021-01-01
85,DusMinute,2017,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,early traction,2021-01-01
86,Onsurity,2020,Bangalore,HealthCare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal",Jitendra Gupta,0.0,others,2021-01-01
87,Karbon Card,2019,Bangalore,Fintech,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,0.0,others,2021-01-01
88,Factors.AI,2020,Bangalore,Software-as-a-Service,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan",levation Partners,2000000.0,others,2021-01-01
89,Elevar,2017,Mumbai,Sports and Sports Technology,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah",Kalaari Capital,2000000.0,others,2021-01-01
90,Studio Sirah,2020,Bangalore,Gaming,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,others,2021-01-01
91,OTO Capital,2018,Mumbai,Fintech,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,others,2021-01-01
92,1Bridge,2016,Bangalore,Consumer Goods and Services,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,others,2021-01-01
93,Skeps,2018,Gurgaon,Fintech,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,others,2021-01-01
94,Curefoods,2020,Bangalore,Food and Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,Iron Pillar,13000000.0,others,2021-01-01
95,TartanSense,2015,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,MC,5000000.0,others,2021-01-01
96,Bewakoof,2012,Mumbai,Fashion and Lifestyle,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,others,2021-01-01
97,Kirana247,2018,Delhi,Supply Chain and Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",None,1000000.0,others,2021-01-01
98,FanPlay,2020,None,Gaming,A real money game app specializing in trivia games,YC W21,Pritesh Kumar,1200000.0,others,2021-01-01
99,NeoDocs,2020,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha",Y Combinator,0.0,others,2021-01-01
100,IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,obin Alex,Unicorn India Ventures,200000.0,others,2021-01-01
101,Camp K12,2010,Gurgaon,Education Technology,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,Matrix Partners India,12000000.0,others,2021-01-01
102,Elda Health,2020,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma",Avaana Capital,1500000.0,others,2021-01-01
103,Sporjo,2020,Mumbai,Sports and Sports Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,others,2021-01-01
104,Advantage Club,2014,Mumbai,Human Resources and HR Technology,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah",Y Combinator,1700000.0,others,2021-01-01
105,SuperGaming,2017,Pune,Gaming,"At SuperGaming, building India's best gaming company.","oby John, Sanket Nadhani, Navneet Waraich",Skycatcher,5500000.0,others,2021-01-01
106,Ruptok,2020,Delhi,Fintech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,clear Leasing,1000000.0,others,2021-01-01
108,TartanSense,2015,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,MC,5000000.0,early traction,2021-01-01
110,Kirana247,2018,Delhi,Supply Chain and Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",None,1000000.0,early traction,2021-01-01
112,NeoDocs,2020,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha",Y Combinator,0.0,validation,2021-01-01
113,IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,obin Alex,Unicorn India Ventures,200000.0,early traction,2021-01-01
114,Camp K12,2010,Gurgaon,Education Technology,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,Matrix Partners India,12000000.0,early traction,2021-01-01
115,Elda Health,2020,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma",Avaana Capital,1500000.0,validation,2021-01-01
116,Sporjo,2020,Mumbai,Sports and Sports Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,early traction,2021-01-01
118,SuperGaming,2017,Pune,Gaming,"At SuperGaming, building India's best gaming company.","oby John, Sanket Nadhani, Navneet Waraich",Skycatcher,5500000.0,early traction,2021-01-01
120,O’ Be Cocktails,2019,Bangalore,Wine and Spirits,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,irst Cheque,400000.0,others,2021-01-01
121,Zetwerk,2018,Bangalore,Mechanical and Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",None,150000000.0,early traction,2021-01-01
122,AppsForBharat,2020,Bangalore,Spirituality,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,Sequoia Capital India,4000000.0,validation,2021-01-01
123,Imagimake,2011,Mumbai,Consumer Goods and Services,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,0.0,others,2021-01-01
124,Khatabook,2018,Bangalore,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"avish Naresh, Ashish Sonone",Tribe Capital,100000000.0,early traction,2021-01-01
125,Smytten,2015,Gurgaon,Consumer Goods and Services,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",ireside Ventures,6000000.0,early traction,2021-01-01
126,Syook,2016,Bangalore,Industrial Automation,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan",Inflection Point Ventures,1000000.0,early traction,2021-01-01
127,Akudo,2020,Bangalore,Fintech,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi",Y Combinator,0.0,validation,2021-01-01
128,NOTO,2019,Mumbai,Consumer Goods and Services,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth",Titan Capital,500000.0,early traction,2021-01-01
129,Lumiq,2013,Noida,Information Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,validation,2021-01-01
130,CommerceUp,2018,Gurgaon,Information Technology,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NB Ventures,0.0,validation,2021-01-01
131,Breathe Well-being,2015,Gurgaon,Healthcare,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","ohan Verma, Aditya Kaicker",Accel,5500000.0,early traction,2021-01-01
132,Hike,2012,Delhi,Information Technology,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,Binny Bansal,0.0,others,2021-01-01
133,House of Kieraya,2013,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,others,2021-01-01
134,goEgoNetwork,2019,Pune,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",None,2000000.0,others,2021-01-01
135,Probus,2017,Delhi,Internet of Things,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000.0,others,2021-01-01
136,DrinkPrime,2016,Bangalore,Consumer Goods and Services,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,UC Inclusive Credit,1000000.0,others,2021-01-01
137,Smart Express,2015,Mumbai,Supply Chain and Logistics,India’s Most Innovative and Awarded Express Logistics Company.,Yogesh Dhingra,IIFL India Private Equity Fund,10000000.0,validation,2021-01-01
138,Smallcase,2015,Bangalore,Fintech,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",aering Capital,40000000.0,early traction,2021-01-01
139,SATYA MicroCapital,2017,Delhi,Financial Services,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari,responsAbility Investments,10000000.0,others,2021-01-01
140,Snack Amor,2014,Mumbai,Food and Beverages,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",Deepak Grover,Sanchit Agarwal,0.0,others,2021-01-01
141,Postman,2014,Bangalore,Computer Software,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti",CRV,225000000.0,early traction,2021-01-01
142,Hashnode,2016,Bangalore,Computer Software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda",Salesforce Ventures,6700000.0,early traction,2021-01-01
