,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
2536,Pandorum Technologies,2015,Bangalore,Biotechnology,Bengaluru based biotech startup.,None,None,3600000.0,early traction,2018-01-01
2537,Shirsa Labs,2015,Mumbai,"Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,None,None,500000.0,validation,2018-01-01
2538,PetSutra,2015,Gurgaon,Pet Care and Veterinary Services,Gurugram-based Online petcare platform.,None,None,0.0,validation,2018-01-01
2539,Awaaz De,2015,Ahmedabad,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,None,None,0.0,validation,2018-01-01
2540,PinkBlue,2015,Bangalore,"Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,None,None,300000.0,validation,2018-01-01
2541,Eduvanz,2015,Mumbai,"Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",None,None,500000.0,validation,2018-01-01
2542,Rupeek,2015,Bangalore,"Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,None,None,6830000.0,early traction,2018-01-01
2543,Backpacker Panda Holidays Private Limited,2015,Pune,"Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,None,None,1400000.0,early traction,2018-01-01
2544,Shape (School Health and Physical Education),2015,Pune,Education,Physical education start up,None,None,200000.0,validation,2018-01-01
2545,Placio,2015,Noida,"Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,None,None,2000000.0,validation,2018-01-01
2546,Aviom India Housing Finance,2015,Delhi,Financial Services,Delhi based housing finance company.,None,None,0.0,early traction,2018-01-01
2547,GenRobotic,2015,Trivandrum,Market Research,A Robotic Company.,None,None,0.0,validation,2018-01-01
2548,HeyHolidays,2015,Bangalore,"Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",None,None,1000000.0,validation,2018-01-01
2549,Pratilipi,2015,Bangalore,"Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,None,None,4300000.0,early traction,2018-01-01
2550,SectorQube,2015,rnakulam,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,None,None,0.0,validation,2018-01-01
2551,Food Memories,2015,Ahmedabad,"Food and Beverage, Food Processing",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,None,None,0.0,validation,2018-01-01
2552,ZAMROO,2015,India,"Internet, Marketplace, Shopping",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,None,None,0.0,validation,2018-01-01
2553,Silversparro Technologies Pvt. Ltd,2015,Gurgaon,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,None,None,300000.0,validation,2018-01-01
2554,Creator’s Gurukul,2015,Gurgaon,Facilities Support Services,A coworking space provider.,None,None,0.0,validation,2018-01-01
2555,Emflux Motors,2015,Bangalore,"Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,None,None,364846.0,validation,2018-01-01
2556,Tricog Health Services Pvt Ltd,2015,Bangalore,"Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,None,None,4000000.0,early traction,2018-01-01
2557,Scapic,2015,Bangalore,"Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,None,None,500000.0,validation,2018-01-01
2558,6Degree,2015,Mumbai,"Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,None,None,400000.0,validation,2018-01-01
2559,Chrysalis (EZ Vidya),2015,Chennai,Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,None,None,0.0,validation,2018-01-01
2560,Ekincare,2015,Hyderabad,Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,None,None,1500000.0,early traction,2018-01-01
2561,Streo,2015,Gurgaon,Music and Music Streaming,"Live stream music from nightclubs, bars & festivals!",None,None,0.0,validation,2018-01-01
